"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN"
"TID_HINT_CAMP","Troops in the Camps are for attacking only - they won't defend your village","Les troupes dans le camp ne servent qu'à attaquer : elles ne défendront pas votre village","Truppen in Lagern greifen nur an - sie verteidigen dein Dorf nicht","Las tropas en los campamentos solo son para atacar, no defenderán tu pueblo","Le truppe negli accampamenti possono solo attaccare, non possono difendere il tuo villaggio","Troepen in de Legerkampen zijn alleen bestemd voor aanvallen - ze zullen je dorp niet helpen verdedigen.","Soldater i leirene er kun til angrep - de forsvarer ikke bygden","As Tropas nos Acampamentos são só para ataque - não defenderão a sua vila","Kamplardaki birlikler ise sadece saldırı içindir, köyünüzü savunmazlar","アーミーキャンプにいるユニットは他の村を攻撃する時にしか使えず、自分の村を守ってはくれません。","兵营里的军队只能对外攻击，而不会保护您的村庄。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_CAMP_DESTROYED","If you destroy an enemy's Army Camp, all troops inside will perish","Si vous détruisez un camp militaire ennemi, toutes les troupes à l'intérieur seront anéanties","Wenn du das Lager einer Armee zerstörst, sterben alle Truppen","Si destruyes el campamento enemigo, las tropas en él, perecerán","Se distruggerai un accampamento militare nemico, tutte le truppe che risiedono all'interno moriranno","Als je een Legerkamp van de vijand verwoest, zullen alle troepen in dat kamp omkomen.","Vist du beseirer fiendens leir vil alle soldatene stryke med","Se destruir um Acampamento inimigo, todas as tropas perecerão","Düşmanın Ordu Kampını yokederseniz, içerideki bütün birlikler yok olur","敵のアーミーキャンプを破壊すれば、そこにいるユニットは全滅します。","如果摧毁敌军兵营，所有兵营的部队将全军覆没。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SHIELD2","An active Shield protects you from all attacks","Un bouclier actif vous protège de toutes les attaques","Ein aktives Schild schützt dich vor allen Angriffen","Un escudo activo te protege de todos los ataques","Uno scudo attivo ti proteggerà da tutti gli attacchi","Een actief Schild beschermt je tegen alle aanvallen.","Et aktivt skjold beskytter deg fra alle angrep","Um Escudo ativo protege-o de todos os ataques","Etkin bir Kalkan sizi her türlü saldırıdan korur","シールドが有効になっている限り、村は攻撃を一切受けずにすみます。","有效的护盾可以保护您免受一切袭击。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SHIELD_GAIN","You get a free Shield if an attacker destroys your village","Vous recevrez un bouclier gratuit si un attaquant détruit votre village","Du erhältst einen Gratis-Schild, wenn dein Dorf zerstört wird","Recibirás un escudo gratis si un atacante destruye tu aldea","Puoi ottenere uno scudo gratis, se un nemico ti dovesse attaccare e dovesse distruggere il tuo villaggio","Je krijgt een gratis Schild als een aanvaller je dorp verwoest.","Du får et gratis skjold vist en fiende angriper din bygd","Ganhe um Escudo grátis se um atacante destruir a sua vila","Bir saldırgan köyünüzü yokederse ücretsiz bir kalkan alırsınız","攻撃側が自分の村を破壊した場合、無料でシールドが有効になります。","如果有外敌摧毁了您的村庄，您可免费获得护盾。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SHIELD_GAIN_TIME","You get a longer lasting shield if your village is destroyed completely","Vous aurez un bouclier plus long si votre village est entièrement détruit.","Du erhältst einen Schild von längerer Dauer, wenn dein Dorf vollständig zerstört wird","Si destruyen tu aldea por completo, obtendrás un escudo que durará más tiempo.","Se il tuo villaggio è completamente distrutto, lo scudo durerà più a lungo.","Je krijgt een schild dat langer meegaat wanneer je dorp volledig werd verwoest.","Du får et skjold som varer lenger hvis landsbyen din er helt ødelagt","Você recebe um escudo de maior duração se a sua vila for destruída por completo","Köyün tamamen yok edilirse, etkinliği daha uzun sürecek olan kalkan kazanırsın","自分の村が完全に破壊された場合、もらえる無料シールドの効果時間が長くなります。","如果您的村庄完全被摧毁，您会获得时间更为持久的护。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SHIELD_LOSE","If you attack another player while you have an active Shield, you will lose the Shield","Si vous attaquez un autre joueur alors que vous disposez d'un bouclier actif, vous perdrez le bouclier","Wenn du einen Spieler mit aktivem Schild angreifst, verlierst du den Schild","Si atacas a otro jugador mientras tengas un escudo activo, perderás el escudo","Se dovessi attaccare un altro giocatore mentre disponi di uno scudo attivo, lo perderai","Als je een andere speler aanvalt terwijl je een actief Schild hebt, verlies je dit Schild.","Vist du angriper en spiller mens du har aktivt skjold så vil du miste skjoldet","Se atacar outro jogador enquanto tiver um Escudo ativo, perderá o Escudo","Etkin bir kalkanınız varken başka bir oyuncuya saldırırsanız, Kalkanınızı kaybedersiniz","自分の村のシールドが有効なうちに自分から他のプレイヤーを攻撃した場合、シールドは解除されてしまいます。","在有护盾时攻打其他玩家，您则将失去护盾。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SHIELD_SINGLE_PLAYER","You can attack the Goblin Horde (play single player missions) without losing your active Shield","Vous pouvez attaquer la Horde de gobelins (dans les missions solo) sans perdre votre bouclier","Du kannst die Goblinhorde angreifen (Einzelspielermission), ohne dein aktives Schild zu verlieren","Puedes atacar a la horda de duendes (misiones para un jugador) sin perder tu escudo activo","Puoi attaccare le orde di Goblin (basta intraprendere delle missioni come giocatore singolo) senza perdere il tuo scudo attivo","Je kan de Gobelinhorde aanvallen (speel missies met een speler) zonder je actieve Schild te verliezen.","Du kan angripe trollhorden (i enkelspiller spill) uten å miste ditt aktive skjold","Você pode atacar a Horda Goblin (jogue missões single player) sem perder o Escudo ativo","Etkin Kalkanınızı kaybetmeden Goblin Sürüsüne (tek oyuncu görevlerini oynayın) saldırabilirsiniz","ゴブリンの大軍を攻撃（シングルプレイ用ミッションをプレイ）しても、現在有効になっているシールドは解除されません。","攻打哥布林部落（单人游戏任务）不会导致护盾失效。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SINGLE_PLAYER_REWARDS","Need a bit more gold for an upgrade? Take it from the Goblins in a single player mission!","Besoin d'un peu plus d'or pour une amélioration ? Prenez-le chez les gobelins dans une mission solo !","Nicht genug Gold für ein Upgrade? Hol´s dir von den Goblins (Einzelspielermission)!","¿Necesitas más oro para una mejora? ¡Cógeselo a los duendes en misiones de un jugador!","Hai bisogno di un po' d'oro in più per richiedere un upgrade? Rubalo ai Goblin in una missione come giocatore singolo!","Heb je wat meer goud nodig voor een upgrade? Pak het van de Gobelins in een missie met één speler!","Trenger du mer gull til oppgradering? Ta det fra trollene i enkelspiller spill!","Precisa de mais ouro para uma atualização? Tire-o dos Goblins numa missão single player!","Yükseltme için altına mı ihtiyaç var? Tek oyuncu görevi ile Goblinlerden altın alabilirsiniz!","アップグレードしたいのにゴールドが足りない！　そんな時はシングルプレイ用ミッションでゴブリンどもからうばいましょう！","还差一点黄金进行升级？可通过单人游戏任务从哥布林那里抢一些！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_TROPHY_COUNT","All Trophies that you win are deducted from your opponents' trophies","Tous les trophées que vous gagnez sont déduits des trophées de vos opposants","Alle eroberten Trophäen werden von denen des Gegners abgezogen","Todos los trofeos que ganes se restan de los trofeos de tus oponentes","Tutti i trofei che hai vinto sono stati sottratti al palmares dei tuoi avversari","Alle trofeeën die je wint worden afgetrokken van de trofeeën van je tegenstanders.","Alle troféer du vinner trekkes fra din fiende","Todos os Troféus ganhos serão deduzidos dos troféus dos seus adversários","Kazandığınız bütün kupalar, rakiplerinizin kupalarından eksilir","戦闘に勝った時にもらうトロフィーは、対戦相手のトロフィーから差し引かれています。","您所赢得的奖杯都来自对手。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_ACHIEVEMENT_GEMS","Complete Achievements to earn free Green Gems!","Terminez les succès pour gagner des gemmes gratuites !","Schließe Errungenschaften ab, um grüne Gratisjuwelen zu verdienen","¡Completa tus logros y gana gemas verdes gratis!","Completa la lista dei progressi per ottenere gratuitamente delle gemme verdi!","Voltooi Prestaties om gratis Groene Edelstenen te verdienen!","Fullfør prestasjoner og tjen grønne smykker!","Conclua as Conquistas para ganhar Gemas grátis!","Yeşil Mücevher kazanmak için Başarıları tamamla!","達成項目をクリアして、無料でエメラルドをもらいましょう！","取得成就可以获取免费宝石！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_UNLOCKS","Upgrade your Town Hall to unlock new buildings and new upgrade levels for your current buildings","Améliorez votre hôtel de ville pour débloquer de nouveaux bâtiments et de nouveaux niveaux d'amélioration pour vos bâtiments actuels","Verbessere dein Rathaus, um neue Gebäude und neue Level für Gebäude freizuschalten","Actualiza tu ayuntamiento y desbloquea nuevos edificios y niveles de mejora para los que tienes","Potenzia il tuo Municipio per sbloccare nuovi edifici e nuovi livelli di upgrade per gli edifici di cui disponi attualmente","Verbeter je Stadhuis om nieuwe gebouwen en nieuwe uitbreidingen voor je huidige gebouwen te ontgrendelen.","Oppgrader rådhuset for å låse opp nye bygninger og oppgradere nivået til bygninger du har","Atualize o seu Centro da Vila para liberar edifícios e níveis novos de atualização para os seus edifícios atuais","Yeni binaları ve mevcut binalarla ilgili yeni yükseltmeleri açmak için Belediye Binanızı yükseltin.","タウンホールをアップグレードすれば、新しい建物を建設したり、今ある建物をより高いレベルまでアップグレードできるようになります。","升级大本营可以解锁新型建筑。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_REBUILD_CLANCASTLE","Rebuild the ruined Clan Castle to join forces with other players!","Rebâtissez le château de clan en ruines pour joindre vos forces à celles d'autres joueurs !","Baue die Clanburg wieder auf und verbünde dich mit anderen Spielern!","¡Arregla el ruinoso castillo del clan: une fuerzas con otros jugadores!","Ricostruisci il Castello del clan in rovina per unire le forze a quelle degli altri giocatori!","Restaureer het verwoeste Clankasteel om met andere spelers te kunnen samenwerken!","Bygg det ruinerte klanslottet opp igjen for å bli med andre spillere!","Reconstrua o Castelo do Clã para unir forças com outros jogadores!","Oyuncularla güç birliği yapmak için yıkılan Klan Kalesini inşa edin.","荒れ果てたクランの城を再建すれば他のプレイヤーと協力できるようになります！","重建部落城堡就可以和其他玩家一起并肩战斗！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_CLAN_REINFORCEMENTS","Use the Clan Castle to request reinforcements from your Clanmates!","Utilisez le château de clan pour demander des renforts aux membres de votre clan !","Nutze die Clanburg, um Verstärkung von deinem Clan anzufordern!","¡Usa el castillo del clan para pedir refuerzos de tus compañeros de clan!","Utilizza il Castello del clan per chiedere rinforzi ai tuoi amici del clan!","Gebruik het Clankasteel om versterkingen van je clanleden te vragen!","Bruk klanslottet for å be om forsterkninger fra medspillere!","Use o Castelo do Clã para pedir reforços dos seus amigos do Clã!","Klan arkadaşlarınızdan takviye istemek için Klan Kalesini kullanın!","クランの城があれば、クランの仲間に援軍をたのむことができます！","使用部落城堡向部落成员寻求支援！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_CLAN_TROOP_DEPLOY","Clan Castle reinforcement troops can defend your village from an enemy attack, or you can deploy them when attacking","Les troupes de renfort du château de clan peuvent défendre votre village des attaques ennemies, ou vous pouvez les déployer lorsque vous attaquez","Verstärkung aus der Clanburg kann dein Dorf gegen einen Angriff verteidigen oder bei einem Angriff eingesetzt werden","Las tropas de refuerzo del castillo del clan defienden tu aldea de enemigos, o puedes desplegarlas al ir a atacar","Le truppe di rinforzo del Castello del clan possono difendere il tuo villaggio da un attacco nemico, oppure le puoi aggiungere alle tue forze quando attacchi un altro giocatore","Troepenversterkingen van je Clankasteel kunnen je dorp tegen een vijandelijke aanval verdedigen, maar je kan ze ook bij een aanval inzetten.","Klanslott-forsterkninger kan forsvare bygninger fra fiendeangrep og plassere seg ut under angrep","As tropas de reforço do Castelo do Clã podem defender a sua vila de um ataque inimigo, ou pode dispô-las ao atacar","Klan Kalesi takviye güçleri köyünüzü saldırılara karşı koruyabilir, onları saldırı düzenlerken de kullanabilirsiniz","クランの城にいる援軍ユニットは、自分の村が攻撃された時に防衛戦に参加してくれたり、自分から攻撃する時に配置したりできます。","部落城堡内驻扎的援军可以保护村庄免受敌军袭击，也可用于攻击敌人。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SPELL_LIGTHNING","The Lightning Spell damages units and buildings in a small area.","Le Sort de foudre inflige des dégâts aux unités et bâtiments sur une petite zone.","Der Blitzzauberspruch verursacht Schaden an Einheiten und Gebäuden in einem kleinen Bereich.","El hechizo de rayo daña a las unidades y los edificios de una zona reducida.","L´incantesimo fulmine danneggia le unità e gli edifici in un´area circoscritta.","De bliksemspreuk brengt schade toe aan eenheden en gebouwen in een klein gebied.","Lynformelen skader enheter og bygninger på et lite område.","O Feitiço de Relâmpago danifica unidades e construções em uma pequena área.","Yıldırım Büyüsü, küçük bir alandaki birimlere ve binalara hasar verir.","「ライトニング」 の呪文はせまい範囲のユニットや建物にダメージを与えます。","雷电法术可对小范围内的建筑和军队造成杀伤。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SPELL_HEALING","The Healing Spell creates a ring of healing that heals your units while inside.","Le sort de guérison crée un anneau guérisseur et soigne toutes les unités qui se trouvent à l'intérieur de ce dernier.","Der Heilungszauber erzeugt einen Heilungsring, der deine Einheiten in seinem Inneren heilt.","El hechizo curativo crea un círculo de sanación que cura a tus unidades mientras se hallan en su interior.","L´Incantesimo curativo crea un anello di salute che guarisce le truppe che si trovano all´interno.","De helende spreuk creëert een helende cirkel die eenheden omhult en geneest.","Helbredelsesformelen lager en ring av helbredelse som gjør enhetene friske når de er innenfor.","O Feitiço de Cura cria um círculo curativo que regenera as suas unidades enquanto estiverem dentro dele.","İyileştirme Büyüsü, birimlerin içindeyken birimlerini iyileştiren bir şifa çemberi oluşturur.","「ヒーリング」 の呪文は回復の輪を作り出し、その中にいる味方ユニットが受けたダメージを回復させます。","疗伤法术将放出光环，治疗身处光环内的军队。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SPELL_RAGE","The Rage Spell creates a ring of rage that makes your units stronger and faster while inside.","Le sort de rage crée un anneau de rage qui rendra vos unités plus rapides et plus puissantes tant qu'elles se trouvent à l'intérieur de ce dernier.","Der Wutzauber erzeugt einen Wutring, der deine Einheiten in seinem Inneren stärker und schneller macht.","El hechizo de rabia crea un círculo de rabia que hace que las unidades que tengas en su interior sean más fuertes y rápidas.","L´Incantesimo furia crea un anello di furore che fortifica le truppe che si trovano all´interno.","De woedespreuk creëert een cirkel van woede die eenheden omhult en sterker en sneller maakt.","Raseriformelen lager en ring av raseri som gjør enhetene dine sterkere og raskere når de er innenfor.","O Feitiço de Fúria cria um círculo de fúria que torna as suas unidades mais fortes e mais rápidas enquanto estiverem dentro.","Öfke Büyüsü, birimlerin içindeyken birimlerini daha güçlü ve daha hızlı yapan bir öfke çemberi oluşturur.","「レイジ」 の呪文は怒りの輪を作り出し、その中にいる味方ユニットの攻撃力と速度を高めます。","狂暴法术造出狂暴光环，让身处光环内的军队变得更快、更强。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_SPELL_JUMP","The Jump Spell creates a ring which allows your units to jump over walls.","Le sort de Saut crée un cercle permettant à vos unités de sauter au-dessus des murs.","Der Sprung-Zauberspruch erzeugt einen Ring, der es deinen Einheiten ermöglicht, über Wände zu springen.","El hechizo de salto crea un círculo que permite a tus unidades saltar por encima de las murallas.","L´incantesimo del Salto crea un anello che permette alle tue unità di superare i muri.","De sprongspreuk trekt een cirkel om je eenheden waardoor ze over muren kunnen springen.","Hopeformelen lager en ring som gjør at enhetene dine kan hoppe over murer.","O Feitiço de Salto cria um círculo que permite as suas unidades pularem por cima de muros.","Atlama büyüsü, içerisinde askerlerinin duvarın üzerinden atlamasını sağlayacak bir halka oluşturur.","「ジャンプ」 の呪文は跳躍の輪を作り出し、味方ユニットに壁を跳び越えさせます。","弹跳法术能产生光环，使军队跳过城墙。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_FORUMS","Join the Clash of Clans Forums! Look in Settings - Help and Support.","Rejoignez les forums de Clash of Clans ! Allez dans Paramètres, puis dans Aide et assistance.","Mach beim Forum von Clash of Clans mit! Siehe unter \qEinstellungen - Hilfe und Kundendienst\q nach!","¡Únete a los foros de Clash of Clans! Consulta Ajustes - Ayuda y soporte técnico.","Partecipa ai forum di Clash of Clans! Accedi a Impostazioni>Guida e supporto","Meld je aan op de Clash of Clans Forums! Kijk onder Instellingen - Help en Support.","Bli med i Clash of Clans-forumene! Se i Innstillinger - Hjelp og støtte.","Participe dos fóruns de Clash of Clans! Procure em Configurações - Ajuda e suporte.","Clash of Clans Forumlarına katılın! Ayarlar - Yardım ve Destek bölümüne bakın.","攻略情報を今すぐチェック！　\nオプション設定メニューの 「ヘルプとサポート」 からアクセスできます。","要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_LABORATORY","You can upgrade your troops in the Laboratory to make them better and stronger!","Vous pouvez améliorer vos troupes depuis le laboratoire pour les rendre plus fortes et plus performantes !","Du kannst deine Truppen im Labor verbessern, damit sie besser und stärker werden!","¡Puedes mejorar tus tropas en el laboratorio para que sean mejores y más fuertes!","Puoi migliorare le tue truppe nel Laboratorio per renderle più forti e abili!","Je kan je troepen in het laboratorium upgraden om ze beter en sterker te maken!","Du kan oppgradere troppene dine i laboratoriet for å gjøre dem bedre og sterkere!","Você pode atualizar as suas tropas no Laboratório para torná-las melhores e mais fortes!","Askerlerinizi daha iyi ve daha güçlü yapmak için Laboratuvarda geliştirebilirsiniz!","ラボでユニットをアップグレードすれば、より強く、頼りがいのある戦士に成長します！","您可以在试验室升级军队，让它们变强，变大！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_DPS","The Damage statistic in unit and turret info is measured as Damage Per Second.","Les statistiques de dégâts se trouvant dans les informations des unités et tourelles sont mesurées en dégâts par seconde.","Der Schadenswert in der Info von Einheiten und Türmen wird in \qSchaden pro Sekunde\q gemessen.","La estadística de daño en la información de unidad y torreta se mide como daño por segundo.","I Danni subiti dalle unità e dalle torrette sono misurati in Danno al secondo.","De schade die je aan eenheden en torens toebrengt, wordt als schade per seconde gemeten.","Skadestatistikken for enheter og kanontårn måles i Skade per sekund.","A estatística de dano nas informações das unidades e estruturas defensivas é medida como dano por segundo.","Birim ve taretteki Hasar istatistiği, Saniye Başına Hasar olarak ölçülür.","ユニットおよび防衛設備のダメージの数字は、1秒間に敵に与えられるダメージとして表示されています。","军队和防御建筑的伤害值显示的是每秒伤害值。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_LABORATORY_UPGRADES","You can't cancel upgrades in the Laboratory once they are started. Plan ahead!","Vous ne pouvez annuler les améliorations dans le laboratoire une fois lancées, alors anticipez !","Du kannst Verbesserungen im Labor nicht mehr abbrechen, sobald sie begonnen wurden. Plane voraus!","No puedes cancelar mejoras en el laboratorio una vez hayan comenzado. ¡Planifica con tiempo!","Una volta avviati, non puoi annullare i miglioramenti nel Laboratorio. Pianifica con cura!","Je kan geen verbeteringen in het laboratorium annuleren eens ze van start zijn gegaan. Denk dus goed na voor je iets doet!","Du kan ikke avbryte oppgraderinger i laboratoriet når de først er startet. Planlegg fremover!","Você não pode cancelar as atualizações no Laboratório uma vez que tiverem começado. Planeje com antecedência!","Başlandıktan sonra Laboratuvardaki yükseltmeleri iptal edemezsiniz. Planınızı iyi yapın!","ラボでのユニットのアップグレードは一度開始するとキャンセルできません。計画的にアップグレードしましょう！","一旦试验室开始升级就不能取消。要未雨绸缪！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_USABLE_WHILE_UPGRADING","Camps, Clan Castles and Storages remain functional while they are being upgraded.","Les camps militaires, châteaux du clan et réserves restent fonctionnels pendant leur amélioration.","Lager, Clanburgen und Lagerplätze behalten ihre Funktion während einer Verbesserung bei.","Los campamentos, castillos del clan y almacenes siguen siendo funcionales mientras se mejoran.","Campi, Castelli e Depositi continuano a svolgere la loro funzione durante il miglioramento.","Legerkampen, clankastelen en opslageenheden blijven functioneel tijdens het upgraden.","Leirer, klanslott og lagre er fortsatt i funksjon mens de oppgraderes.","Os Acampamentos, Castelo do Clã e Armazenagens permanecem funcionais enquanto estão sendo atualizados.","Kamplar, Klan Kaleleri ve Depolar yükseltilirken işlevlerini yerine getirmeye devam eder.","アーミーキャンプ、クランの城およびタンクや金庫などの保管専用施設はアップグレード中でもいつもどおり使えます。","兵营、部落城堡和用于存储资源的建筑在升级之时都能正常运转。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_END_BATTLE","You can end a battle and be victorious when you have won at least one star in it.","Vous pouvez terminer une bataille et en sortir victorieux lorsque vous avez remporté au moins une étoile en cours de combat.","Du kannst einen Kampf beenden und siegreich sein, wenn du darin mindestens einen Stern erreicht hast.","Puedes terminar una batalla y salir victorioso cuando hayas ganado al menos una estrella en ella.","Puoi terminare una battaglia e uscirne vittorioso dopo aver vinto almeno una stella.","Je kan het gevecht beëindigen en toch winnen zodra je minimaal één ster hebt gewonnen.","Du kan avslutte et slag og innkassere seieren når du har vunnet minst én stjerne i det.","Você pode terminar uma batalha e ser vitorioso ao ganhar pelo menos uma estrela nela.","İçinde en az bir yıldız kazandığın savaşları sona erdirip zafer kazanabilirsin.","星を少なくとも1つとれていれば、戦闘を途中で終えても勝利できます。","在战斗中至少获得一星战果就能赢得胜利。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_CHAT_REPORT","If you see an offensive message in the chat, tap it and choose \qReport\q to report the player.","Si vous voyez un message déplacé sur le chat, touchez-le puis sélectionnez \qSignaler\q pour signaler le joueur.","Falls du im Chat eine anstößige Nachricht sehen solltest, dann tippe sie an und wähle \qMelden\q, um den Spieler zu melden.","Si ves un mensaje ofensivo en el chat, tócalo y elige \qDenunciar\q para denunciar al jugador.","Se vedi un messaggio offensivo nella chat, toccalo e seleziona \qSegnala\q per segnalare il giocatore.","Als je een aanstootgevend bericht ziet in de chat, tik je erop en kies je \qRapporteren\q om de speler te rapporteren.","Hvis du ser en støtende melding i chatten, trykker du på den og velger \qRapporter\q for å rapportere spilleren.","Se tiver visto uma mensagem ofensiva no chat, toque nela e selecione \qReportar\q para reportar o jogador.","Sohbette hakaret edici bir mesaj görürseniz oyuncuyu bildirmek için mesaja dokunun ve \qBildir\q seçeneğini seçin.","チャットで問題のある発言を見かけたら、そのメッセージをタップして\n「報告する」 で運営側にそのプレイヤーのことを報告してください。","如果在聊天室发现不当言论，请点击该言论，并选择[举报]举报该玩家。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_CHAT_REPORT_LIMIT","Use chat reporting only when necessary - don't get carried away!","Signalez les personnes du chat seulement lorsque c'est nécessaire : ne vous laissez pas emporter !","Verwende das Melden von Chat-Beiträgen nur dann, wenn es notwendig ist - benutze die Funktion nicht übereilt!","Usa las denuncias del chat solo cuando sea necesario; ¡no te emociones!","Usa questa funzione solo se necessario, non farti prendere la mano!","Gebruik de rapporteerfunctie alleen wanneer nodig is en maak er geen misbruik van!","Bruk chatrapportering bare når det er nødvendig - ikke overdriv!","Use os reportes do chat somente quando necessário - não abuse!","Sohbet bildirimini yalnızca gerekli olduğunda kullanın, kendinizi fazla kaptırmayın!","チャットの問題発言の報告は、本当に必要な時だけにしてください。報告しすぎてもいいことありません！","只在必要时举报玩家——别玩过火了！\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_REVENGE_OF_REVENGE","Revenge attack is unavailable against players that you attacked first.","La revanche sur d'autres joueurs n'est pas possible lorsque vous avez attaqué le premier.","Racheangriffe gegen Spieler, die du zuerst angegriffen hast, sind nicht möglich.","El ataque por venganza no está disponible contra jugadores a los que tú hayas atacado primero.","L´attacco Vendetta non è disponibile contro i giocatori che hai attaccato per primo.","De wraakaanval kan je niet inzetten tegen spelers die jij als eerste hebt aangevallen.","Hevnangrep er ikke tilgjengelig mot spillere som du angrep først.","A Vingança não fica disponível contra jogadores que você atacou primeiro.","İntikam saldırısını, ilk saldıran tarafın siz olduğunuz oyunculara karşı kullanamazsınız.","自分から攻撃した相手にはリベンジ攻撃できません。","您先攻击对方的情况下是不能对他复仇的。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
"TID_HINT_BATTLE_ENDS","The battle ends when you have expended all your troops, clan reinforcements and damaging spells.","La bataille se termine quand vous n'avez plus de troupes, de renforts de clan, et de sorts de dégâts.","Der Kampf endet, wenn all deine Truppen, Clan-Verstärkungen und Schadenszauber verbraucht sind.","La batalla terminará cuando hayas gastado todas tus tropas, refuerzos de clan y hechizos de ataque.","La battaglia termina esaurendo le truppe, i rinforzi del clan e gli incantesimi che danneggiano.","Het gevecht eindigt als je al je troepen, clanversterkingen en vernietigende spreuken hebt ingezet.","Slaget avsluttes når du har brukt opp alle soldatene, klanforsterkningene og skadeformlene dine.","A batalha termina quando você gasta todas as suas tropas, reforços de clã e feitiços de dano.","Tüm birliklerini, klan destek birliklerini ve hasar büyülerini harcadığında savaş sona erer.","手持ちのユニット、クランからの援軍、攻撃呪文をすべて使い尽くしてしまうと戦闘は終了します。","当您耗尽所有部队、部落援军和伤害法术时，战斗结束。"
"TID_HINT_XBOW_LVL_8","Upgrading your Town Hall will grant you access to a new defensive weapon called X-Bow.","Améliorer votre hôtel de ville vous donnera accès à une nouvelle arme défensive : l'arc-X.","Die Verbesserung deines Rathauses ermöglicht dir Zugang zu einer neuen Verteidigungswaffe namens X-Bogen.","Si mejoras tu ayuntamiento tendrás acceso a una nueva arma defensiva llamada X-Ballesta.","Migliorando il Municipio avrai accesso ad una nuova arma di difesa, chiamata Arco-X.","Door het stadhuis uit te breiden, krijg je toegang tot een nieuw verdedigingswapen: de X-boog.","Hvis du oppgraderer Rådhuset, får du tilgang til et nytt forsvarsvåpen som kalles X-buen.","Atualizar o Centro da Vila irá lhe conceder acesso a uma nova arma defensiva: a X-Besta.","Köy Binanı yükselttiğinde, yeni bir savunma silahı olan X-Topuna erişme imkânı kazanacaksın.","タウンホールをアップグレードしていけば、やがて\n「巨大クロスボウ」 という強力な防衛武器が使えるようになります。","升级大本营可获取新的防御武器——X连弩。\n要获取更多信息，请关注新浪蓝V认证微博 @部落冲突Clash—of—Clans"
